 27
 11
 Generic
 Generic
 Generic

 WORLD
      YEARS  FossilCO2   OtherCO2        CH4        N2O        SOx         CO      NMVOC        NOx         BC         OC        NH3        CF4       C2F6      C6F14      HFC23      HFC32   HFC43-10     HFC125    HFC134a    HFC143a   HFC227ea   HFC245fa        SF6
        Yrs        GtC        GtC      MtCH4    MtN2O-N        MtS       MtCO         Mt        MtN         Mt         Mt        MtN         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt
       2107     3.4180     0.0334   266.0600     7.9561    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     9.8079     1.7777     0.0886     0.0000    81.2268    10.4055    23.0064   407.8046    44.6926     0.0144    69.1703     5.5578
       2108     3.3059     0.0315   266.0602     7.9338    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     9.5809     1.7371     0.0886     0.0000    81.2268    10.4055    23.0064   407.6231    44.4672     0.0144    69.1703     5.4325
       2109     3.1937     0.0296   266.0604     7.9116    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     9.3540     1.6964     0.0886     0.0000    81.2268    10.4055    23.0064   407.4416    44.2418     0.0145    69.1703     5.3073
       2110     3.0816     0.0278   266.0606     7.8894    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     9.1271     1.6558     0.0719     0.0000    81.2268    10.4055    23.0064   407.2601    44.0164     0.0145    69.1703     5.1821
       2111     3.0019     0.0259   266.0607     7.8672    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     8.9002     1.6151     0.0719     0.0000    81.2268    10.4055    23.0064   407.0786    43.7910     0.0145    69.1703     5.0569
       2112     2.9222     0.0241   266.0609     7.8449    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     8.6732     1.5745     0.0719     0.0000    81.2268    10.4055    23.0064   406.8971    43.5656     0.0145    69.1703     4.9317
       2113     2.8425     0.0222   266.0611     7.8227    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     8.4463     1.5338     0.0719     0.0000    81.2268    10.4055    23.0064   406.7156    43.3401     0.0146    69.1703     4.8064
       2114     2.7628     0.0204   266.0612     7.8004    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     8.2194     1.4932     0.0719     0.0000    81.2268    10.4055    23.0064   406.5341    43.1147     0.0146    69.1703     4.6812
       2115     2.6831     0.0185   266.0614     7.7782    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     7.9924     1.4525     0.0719     0.0000    81.2268    10.4055    23.0064   406.3526    42.8893     0.0146    69.1703     4.5560
       2116     2.6033     0.0166   266.0615     7.7560    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     7.7655     1.4118     0.0719     0.0000    81.2268    10.4055    23.0064   406.1710    42.6639     0.0146    69.1703     4.4308
       2117     2.5236     0.0148   266.0616     7.7337    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     7.5386     1.3712     0.0719     0.0000    81.2268    10.4055    23.0064   405.9895    42.4385     0.0146    69.1703     4.3056
       2118     2.4439     0.0129   266.0618     7.7115    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     7.3117     1.3305     0.0719     0.0000    81.2268    10.4055    23.0064   405.8080    42.2130     0.0147    69.1703     4.1803
       2119     2.3642     0.0111   266.0620     7.6892    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     7.0847     1.2899     0.0719     0.0000    81.2268    10.4055    23.0064   405.6265    41.9876     0.0147    69.1703     4.0551
       2120     2.2845     0.0092   266.0621     7.6670    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     6.8578     1.2492     0.0552     0.0000    81.2268    10.4055    23.0064   405.4450    41.7622     0.0147    69.1703     3.9299
       2121     2.2525     0.0083   266.0622     7.6448    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     6.6309     1.2086     0.0552     0.0000    81.2268    10.4055    23.0064   405.2635    41.5368     0.0147    69.1703     3.8047
       2122     2.2204     0.0074   266.0624     7.6225    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     6.4040     1.1679     0.0552     0.0000    81.2268    10.4055    23.0064   405.0820    41.3114     0.0148    69.1703     3.6794
       2123     2.1883     0.0064   266.0625     7.6003    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     6.1770     1.1273     0.0552     0.0000    81.2268    10.4055    23.0064   404.9005    41.0860     0.0148    69.1703     3.5542
       2124     2.1563     0.0055   266.0627     7.5780    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     5.9501     1.0867     0.0552     0.0000    81.2268    10.4055    23.0064   404.7190    40.8606     0.0149    69.1703     3.4289
       2125     2.1242     0.0046   266.0628     7.5558    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     5.7232     1.0460     0.0552     0.0000    81.2268    10.4055    23.0064   404.5375    40.6352     0.0149    69.1703     3.3037
       2126     2.0922     0.0037   266.0629     7.5336    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     5.4963     1.0054     0.0552     0.0000    81.2268    10.4055    23.0064   404.3560    40.4097     0.0149    69.1703     3.1785
       2127     2.0602     0.0028   266.0631     7.5113    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     5.2694     0.9648     0.0552     0.0000    81.2268    10.4055    23.0064   404.1745    40.1843     0.0150    69.1703     3.0532
       2128     2.0281     0.0018   266.0632     7.4891    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     5.0424     0.9242     0.0552     0.0000    81.2268    10.4055    23.0064   403.9930    39.9589     0.0150    69.1703     2.9280
       2129     1.9961     0.0009   266.0634     7.4668    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     4.8155     0.8835     0.0552     0.0000    81.2268    10.4055    23.0064   403.8115    39.7335     0.0151    69.1703     2.8027
       2130     1.9640     0.0009   266.0635     7.4446    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     4.5886     0.8429     0.0385     0.0000    81.2268    10.4055    23.0064   403.6300    39.5081     0.0151    69.1703     2.6775
       2131     1.9385     0.0009   266.0636     7.4224    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     4.3617     0.8023     0.0385     0.0000    81.2268    10.4055    23.0064   403.4485    39.2827     0.0151    69.1703     2.5523
       2132     1.9131     0.0009   266.0637     7.4001    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     4.1347     0.7616     0.0385     0.0000    81.2268    10.4055    23.0064   403.2670    39.0573     0.0151    69.1703     2.4271
       2133     1.8876     0.0009   266.0639     7.3779    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     3.9078     0.7210     0.0385     0.0000    81.2268    10.4055    23.0064   403.0855    38.8319     0.0152    69.1703     2.3019
       2134     1.8621     0.0009   266.0640     7.3557    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     3.6808     0.6803     0.0385     0.0000    81.2268    10.4055    23.0064   402.9040    38.6065     0.0152    69.1703     2.1767
       2135     1.8366     0.0009   266.0641     7.3335    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     3.4539     0.6397     0.0385     0.0000    81.2268    10.4055    23.0064   402.7225    38.3811     0.0152    69.1703     2.0514
       2136     1.8112     0.0009   266.0642     7.3112    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     3.2270     0.5991     0.0385     0.0000    81.2268    10.4055    23.0064   402.5410    38.1556     0.0152    69.1703     1.9262
       2137     1.7857     0.0009   266.0643     7.2890    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     3.0000     0.5584     0.0385     0.0000    81.2268    10.4055    23.0064   402.3595    37.9302     0.0152    69.1703     1.8010
       2138     1.7602     0.0009   266.0645     7.2668    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     2.7731     0.5178     0.0385     0.0000    81.2268    10.4055    23.0064   402.1780    37.7048     0.0153    69.1703     1.6758
       2139     1.7348     0.0009   266.0646     7.2445    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     2.5461     0.4771     0.0385     0.0000    81.2268    10.4055    23.0064   401.9965    37.4794     0.0153    69.1703     1.5506
       2140     1.7093     0.0009   266.0647     7.2223    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     2.3192     0.4365     0.0218     0.0000    81.2268    10.4055    23.0064   401.8150    37.2540     0.0153    69.1703     1.4254
       2141     1.6831     0.0009   266.0648     7.2001    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     2.0923     0.3958     0.0218     0.0000    81.2268    10.4055    23.0064   401.6335    37.0286     0.0154    69.1703     1.3002
       2142     1.6570     0.0009   266.0649     7.1779    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     1.8654     0.3552     0.0218     0.0000    81.2268    10.4055    23.0064   401.4520    36.8032     0.0154    69.1703     1.1750
       2143     1.6308     0.0009   266.0650     7.1556    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     1.6384     0.3146     0.0218     0.0000    81.2268    10.4055    23.0064   401.2705    36.5778     0.0154    69.1703     1.0498
       2144     1.6046     0.0009   266.0652     7.1334    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     1.4115     0.2739     0.0218     0.0000    81.2268    10.4055    23.0064   401.0890    36.3524     0.0155    69.1703     0.9246
       2145     1.5785     0.0009   266.0653     7.1112    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     1.1846     0.2332     0.0218     0.0000    81.2268    10.4055    23.0064   400.9075    36.1270     0.0156    69.1703     0.7993
       2146     1.5523     0.0009   266.0654     7.0889    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.9576     0.1926     0.0218     0.0000    81.2268    10.4055    23.0064   400.7260    35.9016     0.0156    69.1703     0.6741
       2147     1.5262     0.0009   266.0655     7.0667    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.7307     0.1520     0.0218     0.0000    81.2268    10.4055    23.0064   400.5445    35.6762     0.0156    69.1703     0.5489
       2148     1.5000     0.0009   266.0656     7.0445    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.5038     0.1113     0.0084     0.0000    81.2268    10.4055    23.0064   400.3630    35.4508     0.0157    69.1703     0.4237
       2149     1.5354     0.0009   266.0834     7.0065    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8286    81.2102    10.4253    23.2987   401.2135    35.2926     0.0600    69.1653     0.2246
       2150     1.5468     0.0009   266.0918     7.0074    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8286    81.2116    10.4255    23.2991   401.2206    35.2933     0.0600    69.1668     0.2246
       2151     1.5531     0.0009   266.1010     7.0080    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8286    81.2132    10.4257    23.2994   401.2282    35.2939     0.0600    69.1681     0.2246
       2152     1.5547     0.0009   266.1095     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8286    81.2146    10.4259    23.2998   401.2355    35.2945     0.0600    69.1693     0.2246
       2153     1.5527     0.0009   266.1200     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8286    81.2164    10.4261    23.3004   401.2444    35.2953     0.0600    69.1708     0.2246
       2154     1.5482     0.0009   266.1327     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8287    81.2186    10.4264    23.3011   401.2551    35.2963     0.0600    69.1726     0.2246
       2155     1.5419     0.0009   266.1469     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8287    81.2210    10.4267    23.3017   401.2670    35.2974     0.0600    69.1747     0.2246
       2156     1.5324     0.0009   266.1641     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8287    81.2210    10.4267    23.3026   401.2815    35.2986     0.0600    69.1772     0.2246
       2157     1.5229     0.0009   266.1814     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8287    81.2210    10.4267    23.3034   401.2959    35.2999     0.0600    69.1797     0.2246
       2158     1.5134     0.0009   266.1986     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8287    81.2210    10.4267    23.3043   401.3104    35.3011     0.0600    69.1822     0.2246
       2159     1.5039     0.0009   266.2159     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8287    81.2210    10.4267    23.3051   401.3248    35.3024     0.0600    69.1847     0.2246
       2160     1.4944     0.0009   266.2331     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8288    81.2356    10.4286    23.3060   401.3393    35.3036     0.0600    69.1872     0.2246
       2161     1.4831     0.0009   266.2529     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8288    81.2356    10.4286    23.3070   401.3560    35.3051     0.0600    69.1901     0.2246
       2162     1.4718     0.0009   266.2728     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8288    81.2356    10.4286    23.3079   401.3726    35.3065     0.0600    69.1929     0.2246
       2163     1.4605     0.0009   266.2926     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8288    81.2356    10.4286    23.3089   401.3893    35.3080     0.0600    69.1958     0.2246
       2164     1.4492     0.0009   266.3125     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0511     0.0319     0.0058     0.8288    81.2356    10.4286    23.3099   401.4059    35.3095     0.0600    69.1987     0.2246
       2165     1.4380     0.0009   266.3324     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8288    81.2356    10.4286    23.3108   401.4226    35.3109     0.0600    69.2015     0.2246
       2166     1.4267     0.0009   266.3522     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8288    81.2356    10.4286    23.3118   401.4392    35.3124     0.0600    69.2044     0.2246
       2167     1.4154     0.0009   266.3721     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8288    81.2356    10.4286    23.3128   401.4558    35.3139     0.0600    69.2072     0.2246
       2168     1.4041     0.0009   266.3919     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8288    81.2356    10.4286    23.3138   401.4725    35.3154     0.0600    69.2101     0.2246
       2169     1.3928     0.0009   266.4117     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8288    81.2356    10.4286    23.3147   401.4891    35.3168     0.0600    69.2130     0.2246
       2170     1.3815     0.0009   266.4316     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3157   401.5058    35.3183     0.0600    69.2158     0.2246
       2171     1.3712     0.0009   266.4517     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3167   401.5227    35.3198     0.0600    69.2188     0.2246
       2172     1.3609     0.0009   266.4718     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3176   401.5396    35.3213     0.0600    69.2217     0.2246
       2173     1.3506     0.0009   266.4919     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3186   401.5564    35.3228     0.0600    69.2246     0.2246
       2174     1.3403     0.0009   266.5120     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3195   401.5733    35.3243     0.0600    69.2275     0.2246
       2175     1.3300     0.0009   266.5322     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3205   401.5902    35.3257     0.0600    69.2304     0.2246
       2176     1.3197     0.0009   266.5523     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3215   401.6071    35.3272     0.0600    69.2334     0.2246
       2177     1.3094     0.0009   266.5724     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3224   401.6240    35.3287     0.0600    69.2363     0.2246
       2178     1.2991     0.0009   266.5925     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3234   401.6408    35.3302     0.0600    69.2392     0.2246
       2179     1.2888     0.0009   266.6126     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8292    81.2693    10.4329    23.3243   401.6577    35.3317     0.0600    69.2421     0.2246
       2180     1.2785     0.0009   266.6327     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3253   401.6746    35.3332     0.0600    69.2450     0.2246
       2181     1.2697     0.0009   266.6521     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3263   401.6909    35.3346     0.0600    69.2479     0.2246
       2182     1.2608     0.0009   266.6716     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3272   401.7072    35.3361     0.0600    69.2507     0.2246
       2183     1.2520     0.0009   266.6910     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3282   401.7236    35.3375     0.0600    69.2535     0.2246
       2184     1.2431     0.0009   266.7104     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3291   401.7399    35.3390     0.0600    69.2563     0.2246
       2185     1.2343     0.0009   266.7298     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3300   401.7562    35.3404     0.0600    69.2591     0.2246
       2186     1.2255     0.0009   266.7493     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3310   401.7725    35.3418     0.0600    69.2619     0.2246
       2187     1.2166     0.0009   266.7687     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3319   401.7888    35.3433     0.0600    69.2647     0.2246
       2188     1.2078     0.0009   266.7881     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3329   401.8052    35.3447     0.0600    69.2675     0.2246
       2189     1.1989     0.0009   266.8076     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8295    81.3035    10.4373    23.3339   401.8215    35.3462     0.0600    69.2704     0.2246
       2190     1.1901     0.0009   266.8270     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3348   401.8378    35.3476     0.0600    69.2732     0.2246
       2191     1.1826     0.0009   266.8455     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3357   401.8533    35.3490     0.0600    69.2758     0.2246
       2192     1.1750     0.0009   266.8641     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3366   401.8689    35.3503     0.0600    69.2785     0.2246
       2193     1.1675     0.0009   266.8826     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3376   401.8845    35.3517     0.0600    69.2812     0.2246
       2194     1.1600     0.0009   266.9012     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3385   401.9000    35.3531     0.0600    69.2838     0.2246
       2195     1.1524     0.0009   266.9197     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3394   401.9155    35.3544     0.0600    69.2865     0.2246
       2196     1.1449     0.0009   266.9382     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3403   401.9311    35.3558     0.0600    69.2892     0.2246
       2197     1.1374     0.0009   266.9568     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3412   401.9466    35.3572     0.0600    69.2919     0.2246
       2198     1.1299     0.0009   266.9753     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3422   401.9622    35.3586     0.0600    69.2945     0.2246
       2199     1.1223     0.0009   266.9939     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8299    81.3365    10.4415    23.3431   401.9778    35.3599     0.0600    69.2972     0.2246
       2200     1.1148     0.0009   267.0124     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8302    81.3680    10.4456    23.3440   401.9933    35.3613     0.0600    69.2999     0.2246
       2201     1.1084     0.0009   267.0301     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8302    81.3680    10.4456    23.3449   402.0081    35.3626     0.0600    69.3024     0.2246
       2202     1.1019     0.0009   267.0477     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8302    81.3680    10.4456    23.3457   402.0230    35.3639     0.0600    69.3050     0.2246
       2203     1.0955     0.0009   267.0654     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8302    81.3680    10.4456    23.3466   402.0378    35.3652     0.0600    69.3076     0.2246
       2204     1.0890     0.0009   267.0830     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8302    81.3680    10.4456    23.3474   402.0526    35.3665     0.0600    69.3101     0.2246
       2205     1.0826     0.0009   267.1007     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0512     0.0319     0.0058     0.8302    81.3680    10.4456    23.3483   402.0675    35.3678     0.0600    69.3127     0.2246
       2206     1.0762     0.0009   267.1184     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8302    81.3680    10.4456    23.3491   402.0823    35.3691     0.0600    69.3152     0.2246
       2207     1.0697     0.0009   267.1360     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8302    81.3680    10.4456    23.3499   402.0971    35.3704     0.0600    69.3178     0.2246
       2208     1.0633     0.0009   267.1537     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8302    81.3680    10.4456    23.3508   402.1119    35.3717     0.0600    69.3204     0.2246
       2209     1.0568     0.0009   267.1713     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8302    81.3680    10.4456    23.3516   402.1268    35.3730     0.0600    69.3229     0.2246
       2210     1.0504     0.0009   267.1890     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3525   402.1416    35.3743     0.0600    69.3255     0.2246
       2211     1.0449     0.0009   267.2058     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3533   402.1557    35.3755     0.0600    69.3279     0.2246
       2212     1.0393     0.0009   267.2226     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3541   402.1698    35.3768     0.0600    69.3304     0.2246
       2213     1.0338     0.0009   267.2394     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3550   402.1839    35.3780     0.0600    69.3328     0.2246
       2214     1.0282     0.0009   267.2562     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3558   402.1980    35.3792     0.0600    69.3352     0.2246
       2215     1.0227     0.0009   267.2730     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3566   402.2120    35.3805     0.0600    69.3377     0.2246
       2216     1.0172     0.0009   267.2898     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3574   402.2261    35.3817     0.0600    69.3401     0.2246
       2217     1.0116     0.0009   267.3066     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3582   402.2402    35.3829     0.0600    69.3425     0.2246
       2218     1.0061     0.0009   267.3234     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3591   402.2543    35.3841     0.0600    69.3450     0.2246
       2219     1.0005     0.0009   267.3402     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8305    81.3980    10.4494    23.3599   402.2684    35.3854     0.0600    69.3474     0.2246
       2220     0.9950     0.0009   267.3570     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3607   402.2825    35.3866     0.0600    69.3499     0.2246
       2221     0.9902     0.0009   267.3730     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3615   402.2959    35.3878     0.0600    69.3522     0.2246
