Model,Experiment,Time,Temperature response
MAGICC 5.3,4xBC,2049,1.07878
MAGICC 5.3,4xBC,2050,1.08463
MAGICC 5.3,4xBC,2051,1.09033
MAGICC 5.3,4xBC,2052,1.0959
MAGICC 5.3,4xBC,2053,1.10136
MAGICC 5.3,4xBC,2054,1.1067
MAGICC 5.3,4xBC,2055,1.11192
MAGICC 5.3,4xBC,2056,1.11705
MAGICC 5.3,4xBC,2057,1.12207
MAGICC 5.3,4xBC,2058,1.127
MAGICC 5.3,4xBC,2059,1.13183
MAGICC 5.3,4xBC,2060,1.13658
MAGICC 5.3,4xBC,2061,1.14123
MAGICC 5.3,4xBC,2062,1.1458
MAGICC 5.3,4xBC,2063,1.1503
MAGICC 5.3,4xBC,2064,1.15472
MAGICC 5.3,4xBC,2065,1.15906
MAGICC 5.3,4xBC,2066,1.16332
MAGICC 5.3,4xBC,2067,1.16752
MAGICC 5.3,4xBC,2068,1.17165
MAGICC 5.3,4xBC,2069,1.17571
MAGICC 5.3,4xBC,2070,1.17971
MAGICC 5.3,4xBC,2071,1.18365
MAGICC 5.3,4xBC,2072,1.18753
MAGICC 5.3,4xBC,2073,1.19134
MAGICC 5.3,4xBC,2074,1.1951
MAGICC 5.3,4xBC,2075,1.1988
MAGICC 5.3,4xBC,2076,1.20246
MAGICC 5.3,4xBC,2077,1.20605
MAGICC 5.3,4xBC,2078,1.2096
MAGICC 5.3,4xBC,2079,1.21309
MAGICC 5.3,4xBC,2080,1.21654
MAGICC 5.3,4xBC,2081,1.21995
MAGICC 5.3,4xBC,2082,1.2233
MAGICC 5.3,4xBC,2083,1.22661
MAGICC 5.3,4xBC,2084,1.22987
MAGICC 5.3,4xBC,2085,1.2331
MAGICC 5.3,4xBC,2086,1.23628
MAGICC 5.3,4xBC,2087,1.23942
MAGICC 5.3,4xBC,2088,1.24252
MAGICC 5.3,4xBC,2089,1.24558
MAGICC 5.3,4xBC,2090,1.24861
MAGICC 5.3,4xBC,2091,1.25159
MAGICC 5.3,4xBC,2092,1.25454
MAGICC 5.3,4xBC,2093,1.25745
MAGICC 5.3,4xBC,2094,1.26033
MAGICC 5.3,4xBC,2095,1.26317
MAGICC 5.3,4xBC,2096,1.26598
MAGICC 5.3,4xBC,2097,1.26875
MAGICC 5.3,4xBC,2098,1.27149
MAGICC 5.3,4xBC,2099,1.2742
MAGICC 5.3,4xBC,2100,1.27688
