Experiment,Time,Model,CO2 concentration response ,Total forcing response,Temperature response 
BC emissions impulse,2162,MAGICC 6.0,0.05088,0.000465,0.0006438
BC emissions impulse,2163,MAGICC 6.0,0.0504,0.0004608,0.0006392
BC emissions impulse,2164,MAGICC 6.0,0.04994,0.0004566,0.0006346
BC emissions impulse,2165,MAGICC 6.0,0.04948,0.0004525,0.0006302
BC emissions impulse,2166,MAGICC 6.0,0.04903,0.0004483,0.0006258
BC emissions impulse,2167,MAGICC 6.0,0.04858,0.0004442,0.0006213
BC emissions impulse,2168,MAGICC 6.0,0.04813,0.0004403,0.0006169
BC emissions impulse,2169,MAGICC 6.0,0.04769,0.0004363,0.0006127
BC emissions impulse,2170,MAGICC 6.0,0.04725,0.0004323,0.0006084
BC emissions impulse,2171,MAGICC 6.0,0.04682,0.0004285,0.0006042
BC emissions impulse,2172,MAGICC 6.0,0.04639,0.0004245,0.0006
BC emissions impulse,2173,MAGICC 6.0,0.04597,0.0004207,0.0005959
BC emissions impulse,2174,MAGICC 6.0,0.04555,0.000417,0.0005918
BC emissions impulse,2175,MAGICC 6.0,0.04514,0.0004132,0.0005877
BC emissions impulse,2176,MAGICC 6.0,0.04472,0.0004095,0.0005837
BC emissions impulse,2177,MAGICC 6.0,0.04432,0.0004059,0.0005797
BC emissions impulse,2178,MAGICC 6.0,0.04391,0.0004022,0.0005758
BC emissions impulse,2179,MAGICC 6.0,0.04352,0.0003986,0.0005719
BC emissions impulse,2180,MAGICC 6.0,0.04313,0.0003951,0.0005681
BC emissions impulse,2181,MAGICC 6.0,0.04274,0.0003915,0.0005642
BC emissions impulse,2182,MAGICC 6.0,0.04235,0.0003881,0.0005604
BC emissions impulse,2183,MAGICC 6.0,0.04197,0.0003846,0.0005567
BC emissions impulse,2184,MAGICC 6.0,0.04159,0.0003811,0.000553
BC emissions impulse,2185,MAGICC 6.0,0.04121,0.0003778,0.0005494
BC emissions impulse,2186,MAGICC 6.0,0.04084,0.0003744,0.0005458
BC emissions impulse,2187,MAGICC 6.0,0.04047,0.000371,0.0005421
BC emissions impulse,2188,MAGICC 6.0,0.04011,0.0003677,0.0005386
BC emissions impulse,2189,MAGICC 6.0,0.03976,0.0003645,0.000535
BC emissions impulse,2190,MAGICC 6.0,0.0394,0.0003612,0.0005315
BC emissions impulse,2191,MAGICC 6.0,0.03904,0.0003581,0.000528
BC emissions impulse,2192,MAGICC 6.0,0.03869,0.0003549,0.0005246
BC emissions impulse,2193,MAGICC 6.0,0.03834,0.0003518,0.0005213
BC emissions impulse,2194,MAGICC 6.0,0.038,0.0003487,0.0005179
BC emissions impulse,2195,MAGICC 6.0,0.03766,0.0003456,0.0005145
BC emissions impulse,2196,MAGICC 6.0,0.03732,0.0003425,0.0005112
BC emissions impulse,2197,MAGICC 6.0,0.03699,0.0003395,0.0005079
BC emissions impulse,2198,MAGICC 6.0,0.03666,0.0003365,0.0005047
BC emissions impulse,2199,MAGICC 6.0,0.03634,0.0003335,0.0005015
BC emissions impulse,2200,MAGICC 6.0,0.03601,0.0003306,0.0004983
BC emissions impulse,2201,MAGICC 6.0,0.03569,0.0003277,0.0004951
BC emissions impulse,2202,MAGICC 6.0,0.03538,0.0003249,0.000492
BC emissions impulse,2203,MAGICC 6.0,0.03506,0.000322,0.0004889
BC emissions impulse,2204,MAGICC 6.0,0.03475,0.0003191,0.0004858
BC emissions impulse,2205,MAGICC 6.0,0.03444,0.0003164,0.0004828
BC emissions impulse,2206,MAGICC 6.0,0.03413,0.0003136,0.0004798
BC emissions impulse,2207,MAGICC 6.0,0.03383,0.0003108,0.0004768
BC emissions impulse,2208,MAGICC 6.0,0.03353,0.0003081,0.0004738
BC emissions impulse,2209,MAGICC 6.0,0.03324,0.0003053,0.0004709
BC emissions impulse,2210,MAGICC 6.0,0.03294,0.0003027,0.0004679
BC emissions impulse,2211,MAGICC 6.0,0.03264,0.0003,0.000465
BC emissions impulse,2212,MAGICC 6.0,0.03236,0.0002974,0.0004622
BC emissions impulse,2213,MAGICC 6.0,0.03208,0.0002948,0.0004593
BC emissions impulse,2214,MAGICC 6.0,0.03179,0.0002922,0.0004565
BC emissions impulse,2215,MAGICC 6.0,0.03151,0.0002896,0.0004537
BC emissions impulse,2216,MAGICC 6.0,0.03123,0.0002871,0.0004509
BC emissions impulse,2217,MAGICC 6.0,0.03095,0.0002846,0.0004482
BC emissions impulse,2218,MAGICC 6.0,0.03069,0.0002821,0.0004454
BC emissions impulse,2219,MAGICC 6.0,0.03041,0.0002796,0.0004427
BC emissions impulse,2220,MAGICC 6.0,0.03014,0.0002772,0.00044
BC emissions impulse,2221,MAGICC 6.0,0.02987,0.0002747,0.0004374
BC emissions impulse,2222,MAGICC 6.0,0.02961,0.0002724,0.0004347
BC emissions impulse,2223,MAGICC 6.0,0.02936,0.00027,0.0004322
BC emissions impulse,2224,MAGICC 6.0,0.02909,0.0002676,0.0004296
BC emissions impulse,2225,MAGICC 6.0,0.02883,0.0002652,0.000427
BC emissions impulse,2226,MAGICC 6.0,0.02858,0.0002629,0.0004245
BC emissions impulse,2227,MAGICC 6.0,0.02833,0.0002606,0.0004219
BC emissions impulse,2228,MAGICC 6.0,0.02809,0.0002584,0.0004194
BC emissions impulse,2229,MAGICC 6.0,0.02784,0.0002561,0.0004169
BC emissions impulse,2230,MAGICC 6.0,0.02759,0.0002538,0.0004145
BC emissions impulse,2231,MAGICC 6.0,0.02735,0.0002517,0.0004121
BC emissions impulse,2232,MAGICC 6.0,0.02711,0.0002494,0.0004096
BC emissions impulse,2233,MAGICC 6.0,0.02687,0.0002473,0.0004072
BC emissions impulse,2234,MAGICC 6.0,0.02663,0.0002451,0.0004048
BC emissions impulse,2235,MAGICC 6.0,0.0264,0.0002429,0.0004025
BC emissions impulse,2236,MAGICC 6.0,0.02617,0.0002408,0.0004001
BC emissions impulse,2237,MAGICC 6.0,0.02594,0.0002387,0.0003977
BC emissions impulse,2238,MAGICC 6.0,0.02571,0.0002366,0.0003954
BC emissions impulse,2239,MAGICC 6.0,0.02548,0.0002346,0.0003931
BC emissions impulse,2240,MAGICC 6.0,0.02526,0.0002325,0.0003909
BC emissions impulse,2241,MAGICC 6.0,0.02504,0.0002304,0.0003886
BC emissions impulse,2242,MAGICC 6.0,0.02482,0.0002284,0.0003864
BC emissions impulse,2243,MAGICC 6.0,0.0246,0.0002264,0.0003841
BC emissions impulse,2244,MAGICC 6.0,0.02439,0.0002245,0.000382
BC emissions impulse,2245,MAGICC 6.0,0.02417,0.0002225,0.0003798
BC emissions impulse,2246,MAGICC 6.0,0.02396,0.0002205,0.0003776
BC emissions impulse,2247,MAGICC 6.0,0.02375,0.0002186,0.0003754
BC emissions impulse,2248,MAGICC 6.0,0.02354,0.0002167,0.0003733
BC emissions impulse,2249,MAGICC 6.0,0.02333,0.0002148,0.0003712
BC emissions impulse,2250,MAGICC 6.0,0.02323,0.0002139,0.0003694
BC emissions impulse,2251,MAGICC 6.0,0.02323,0.0002139,0.0003678
BC emissions impulse,2252,MAGICC 6.0,0.02323,0.0002139,0.0003662
BC emissions impulse,2253,MAGICC 6.0,0.02323,0.0002139,0.0003648
BC emissions impulse,2254,MAGICC 6.0,0.02323,0.0002139,0.0003634
BC emissions impulse,2255,MAGICC 6.0,0.02323,0.0002139,0.0003621
BC emissions impulse,2256,MAGICC 6.0,0.02323,0.0002139,0.0003608
BC emissions impulse,2257,MAGICC 6.0,0.02323,0.0002139,0.0003596
BC emissions impulse,2258,MAGICC 6.0,0.02323,0.0002139,0.0003583
BC emissions impulse,2259,MAGICC 6.0,0.02323,0.0002139,0.0003571
BC emissions impulse,2260,MAGICC 6.0,0.02323,0.0002139,0.000356
BC emissions impulse,2261,MAGICC 6.0,0.02323,0.0002139,0.0003549
BC emissions impulse,2262,MAGICC 6.0,0.02323,0.0002139,0.0003538
BC emissions impulse,2263,MAGICC 6.0,0.02323,0.0002139,0.0003526
BC emissions impulse,2264,MAGICC 6.0,0.02323,0.0002139,0.0003516
BC emissions impulse,2265,MAGICC 6.0,0.02323,0.0002139,0.0003505
BC emissions impulse,2266,MAGICC 6.0,0.02323,0.0002139,0.0003495
BC emissions impulse,2267,MAGICC 6.0,0.02323,0.0002139,0.0003484
BC emissions impulse,2268,MAGICC 6.0,0.02323,0.0002139,0.0003474
BC emissions impulse,2269,MAGICC 6.0,0.02323,0.0002139,0.0003464
BC emissions impulse,2270,MAGICC 6.0,0.02323,0.0002139,0.0003455
BC emissions impulse,2271,MAGICC 6.0,0.02323,0.0002139,0.0003445
BC emissions impulse,2272,MAGICC 6.0,0.02323,0.0002139,0.0003435
BC emissions impulse,2273,MAGICC 6.0,0.02323,0.0002139,0.0003426
BC emissions impulse,2274,MAGICC 6.0,0.02323,0.0002139,0.0003417
BC emissions impulse,2275,MAGICC 6.0,0.02323,0.0002139,0.0003408
BC emissions impulse,2276,MAGICC 6.0,0.02323,0.0002139,0.0003399
BC emissions impulse,2277,MAGICC 6.0,0.02323,0.0002139,0.0003389
BC emissions impulse,2278,MAGICC 6.0,0.02323,0.0002139,0.0003381
BC emissions impulse,2279,MAGICC 6.0,0.02323,0.0002139,0.0003372
BC emissions impulse,2280,MAGICC 6.0,0.02323,0.0002139,0.0003363
BC emissions impulse,2281,MAGICC 6.0,0.02323,0.0002139,0.0003355
BC emissions impulse,2282,MAGICC 6.0,0.02323,0.0002139,0.0003347
BC emissions impulse,2283,MAGICC 6.0,0.02323,0.0002139,0.0003338
BC emissions impulse,2284,MAGICC 6.0,0.02323,0.0002139,0.0003331
BC emissions impulse,2285,MAGICC 6.0,0.02323,0.0002139,0.0003323
BC emissions impulse,2286,MAGICC 6.0,0.02323,0.0002139,0.0003314
BC emissions impulse,2287,MAGICC 6.0,0.02323,0.0002139,0.0003306
BC emissions impulse,2288,MAGICC 6.0,0.02323,0.0002139,0.0003299
BC emissions impulse,2289,MAGICC 6.0,0.02323,0.0002139,0.0003291
BC emissions impulse,2290,MAGICC 6.0,0.02323,0.0002139,0.0003284
BC emissions impulse,2291,MAGICC 6.0,0.02323,0.0002139,0.0003276
BC emissions impulse,2292,MAGICC 6.0,0.02323,0.0002139,0.0003268
BC emissions impulse,2293,MAGICC 6.0,0.02323,0.0002139,0.0003261
BC emissions impulse,2294,MAGICC 6.0,0.02323,0.0002139,0.0003254
BC emissions impulse,2295,MAGICC 6.0,0.02323,0.0002139,0.0003246
BC emissions impulse,2296,MAGICC 6.0,0.02323,0.0002139,0.0003239
BC emissions impulse,2297,MAGICC 6.0,0.02323,0.0002139,0.0003232
BC emissions impulse,2298,MAGICC 6.0,0.02323,0.0002139,0.0003225
BC emissions impulse,2299,MAGICC 6.0,0.02323,0.0002139,0.0003218
BC emissions impulse,2300,MAGICC 6.0,0.02323,0.0002139,0.0003211
BC emissions impulse,2014,AR5-IR,NA,6.65E-17,0.000298608
BC emissions impulse,2015,AR5-IR,NA,0.59301059,0.04516764
BC emissions impulse,2016,AR5-IR,NA,3.66E-14,0.040166484
BC emissions impulse,2017,AR5-IR,NA,-1.64E-16,0.035726464
BC emissions impulse,2018,AR5-IR,NA,-1.79E-17,0.031784601
BC emissions impulse,2019,AR5-IR,NA,-2.07E-17,0.028284985
BC emissions impulse,2020,AR5-IR,NA,1.65E-17,0.025177982
BC emissions impulse,2021,AR5-IR,NA,-2.18E-17,0.022419527
BC emissions impulse,2022,AR5-IR,NA,-5.84E-18,0.019970501
BC emissions impulse,2023,AR5-IR,NA,4.65E-18,0.017796177
BC emissions impulse,2024,AR5-IR,NA,-5.23E-18,0.015865723
BC emissions impulse,2025,AR5-IR,NA,5.49E-18,0.01415177
BC emissions impulse,2026,AR5-IR,NA,-2.22E-17,0.012630018
BC emissions impulse,2027,AR5-IR,NA,-1.51E-17,0.011278897
BC emissions impulse,2028,AR5-IR,NA,4.66E-19,0.010079256
BC emissions impulse,2029,AR5-IR,NA,1.39E-18,0.009014095
BC emissions impulse,2030,AR5-IR,NA,2.31E-17,0.008068321
BC emissions impulse,2031,AR5-IR,NA,-7.17E-18,0.007228534
BC emissions impulse,2032,AR5-IR,NA,-1.29E-17,0.00648284
BC emissions impulse,2033,AR5-IR,NA,1.50E-17,0.005820678
BC emissions impulse,2034,AR5-IR,NA,-4.00E-18,0.005232675
BC emissions impulse,2035,AR5-IR,NA,1.31E-18,0.004710506
BC emissions impulse,2036,AR5-IR,NA,-2.20E-17,0.004246784
BC emissions impulse,2037,AR5-IR,NA,-2.99E-18,0.003834949
BC emissions impulse,2038,AR5-IR,NA,7.19E-18,0.003469178
BC emissions impulse,2039,AR5-IR,NA,9.69E-18,0.003144301
BC emissions impulse,2040,AR5-IR,NA,-4.48E-19,0.00285573
BC emissions impulse,2041,AR5-IR,NA,5.96E-18,0.002599389
BC emissions impulse,2042,AR5-IR,NA,1.49E-17,0.002371662
BC emissions impulse,2043,AR5-IR,NA,-9.62E-18,0.002169338
BC emissions impulse,2044,AR5-IR,NA,8.28E-18,0.001989566
BC emissions impulse,2045,AR5-IR,NA,2.18E-18,0.001829815
BC emissions impulse,2046,AR5-IR,NA,-9.92E-18,0.001687838
BC emissions impulse,2047,AR5-IR,NA,1.06E-17,0.001561642
BC emissions impulse,2048,AR5-IR,NA,-1.10E-18,0.001449455
BC emissions impulse,2049,AR5-IR,NA,6.05E-19,0.001349705
BC emissions impulse,2050,AR5-IR,NA,1.88E-18,0.001260998
BC emissions impulse,2051,AR5-IR,NA,-6.47E-18,0.001182093
BC emissions impulse,2052,AR5-IR,NA,5.56E-18,0.001111891
BC emissions impulse,2053,AR5-IR,NA,-4.50E-19,0.001049416
BC emissions impulse,2054,AR5-IR,NA,1.41E-17,0.000993801
BC emissions impulse,2055,AR5-IR,NA,5.58E-19,0.000944276
BC emissions impulse,2056,AR5-IR,NA,-3.98E-18,0.000900158
BC emissions impulse,2057,AR5-IR,NA,5.20E-18,0.000860841
BC emissions impulse,2058,AR5-IR,NA,1.03E-18,0.000825786
BC emissions impulse,2059,AR5-IR,NA,-5.10E-18,0.000794516
BC emissions impulse,2060,AR5-IR,NA,-5.48E-18,0.000766605
BC emissions impulse,2061,AR5-IR,NA,-4.15E-19,0.000741677
BC emissions impulse,2062,AR5-IR,NA,5.50E-19,0.000719398
BC emissions impulse,2063,AR5-IR,NA,3.66E-18,0.000699471
BC emissions impulse,2064,AR5-IR,NA,7.64E-18,0.000681632
BC emissions impulse,2065,AR5-IR,NA,-5.03E-18,0.000665647
BC emissions impulse,2066,AR5-IR,NA,-5.50E-18,0.000651309
BC emissions impulse,2067,AR5-IR,NA,4.01E-18,0.000638433
BC emissions impulse,2068,AR5-IR,NA,7.44E-18,0.000626855
BC emissions impulse,2069,AR5-IR,NA,-3.93E-18,0.000616429
BC emissions impulse,2070,AR5-IR,NA,1.42E-18,0.000607028
BC emissions impulse,2071,AR5-IR,NA,-5.77E-18,0.000598536
BC emissions impulse,2072,AR5-IR,NA,4.47E-18,0.000590852
BC emissions impulse,2073,AR5-IR,NA,-9.85E-18,0.000583885
BC emissions impulse,2074,AR5-IR,NA,7.99E-19,0.000577555
BC emissions impulse,2075,AR5-IR,NA,6.61E-18,0.000571792
BC emissions impulse,2076,AR5-IR,NA,-5.82E-18,0.000566531
BC emissions impulse,2077,AR5-IR,NA,1.93E-18,0.000561717
BC emissions impulse,2078,AR5-IR,NA,-6.61E-18,0.000557299
BC emissions impulse,2079,AR5-IR,NA,-3.08E-18,0.000553235
BC emissions impulse,2080,AR5-IR,NA,1.85E-18,0.000549484
BC emissions impulse,2081,AR5-IR,NA,-2.84E-18,0.000546012
BC emissions impulse,2082,AR5-IR,NA,1.91E-18,0.000542787
BC emissions impulse,2083,AR5-IR,NA,-9.33E-19,0.000539783
BC emissions impulse,2084,AR5-IR,NA,-2.24E-20,0.000536975
BC emissions impulse,2085,AR5-IR,NA,1.44E-19,0.000534341
BC emissions impulse,2086,AR5-IR,NA,1.60E-18,0.000531862
BC emissions impulse,2087,AR5-IR,NA,6.85E-18,0.000529521
BC emissions impulse,2088,AR5-IR,NA,8.56E-19,0.000527303
BC emissions impulse,2089,AR5-IR,NA,3.69E-17,0.000525195
BC emissions impulse,2090,AR5-IR,NA,-4.16E-18,0.000523183
BC emissions impulse,2091,AR5-IR,NA,3.25E-20,0.000521259
BC emissions impulse,2092,AR5-IR,NA,5.90E-18,0.000519412
BC emissions impulse,2093,AR5-IR,NA,6.65E-18,0.000517634
BC emissions impulse,2094,AR5-IR,NA,5.07E-19,0.000515918
BC emissions impulse,2095,AR5-IR,NA,-9.16E-19,0.000514257
BC emissions impulse,2096,AR5-IR,NA,1.02E-17,0.000512645
BC emissions impulse,2097,AR5-IR,NA,2.11E-18,0.000511078
BC emissions impulse,2098,AR5-IR,NA,-5.45E-18,0.000509549
BC emissions impulse,2099,AR5-IR,NA,1.10E-17,0.000508057
BC emissions impulse,2100,AR5-IR,NA,-2.34E-19,0.000506595
BC emissions impulse,2101,AR5-IR,NA,1.48E-18,0.000505163
BC emissions impulse,2102,AR5-IR,NA,-1.88E-18,0.000503755
BC emissions impulse,2103,AR5-IR,NA,-3.56E-18,0.000502371
BC emissions impulse,2104,AR5-IR,NA,3.14E-18,0.000501008
BC emissions impulse,2105,AR5-IR,NA,-4.43E-18,0.000499664
BC emissions impulse,2106,AR5-IR,NA,5.10E-18,0.000498336
BC emissions impulse,2107,AR5-IR,NA,3.91E-18,0.000497024
BC emissions impulse,2108,AR5-IR,NA,4.76E-18,0.000495727
BC emissions impulse,2109,AR5-IR,NA,4.95E-18,0.000494441
BC emissions impulse,2110,AR5-IR,NA,6.14E-18,0.000493168
BC emissions impulse,2111,AR5-IR,NA,2.12E-18,0.000491905
BC emissions impulse,2112,AR5-IR,NA,1.42E-18,0.000490652
BC emissions impulse,2113,AR5-IR,NA,4.55E-18,0.000489408
BC emissions impulse,2114,AR5-IR,NA,5.19E-17,0.000488173
BC emissions impulse,2115,AR5-IR,NA,-7.22E-18,0.000486945
BC emissions impulse,2116,AR5-IR,NA,-8.78E-18,0.000485724
BC emissions impulse,2117,AR5-IR,NA,-1.96E-19,0.00048451
BC emissions impulse,2118,AR5-IR,NA,-5.43E-18,0.000483302
BC emissions impulse,2119,AR5-IR,NA,4.32E-18,0.0004821
BC emissions impulse,2120,AR5-IR,NA,3.44E-18,0.000480904
BC emissions impulse,2121,AR5-IR,NA,4.52E-18,0.000479713
BC emissions impulse,2122,AR5-IR,NA,5.03E-18,0.000478526
BC emissions impulse,2123,AR5-IR,NA,-2.45E-18,0.000477345
BC emissions impulse,2124,AR5-IR,NA,3.62E-18,0.000476168
BC emissions impulse,2125,AR5-IR,NA,-2.27E-18,0.000474995
BC emissions impulse,2126,AR5-IR,NA,7.16E-18,0.000473827
BC emissions impulse,2127,AR5-IR,NA,-3.18E-18,0.000472662
BC emissions impulse,2128,AR5-IR,NA,-1.59E-18,0.000471501
BC emissions impulse,2129,AR5-IR,NA,-6.17E-18,0.000470344
BC emissions impulse,2130,AR5-IR,NA,9.95E-18,0.000469191
BC emissions impulse,2131,AR5-IR,NA,-3.28E-18,0.000468041
BC emissions impulse,2132,AR5-IR,NA,5.61E-19,0.000466894
BC emissions impulse,2133,AR5-IR,NA,4.94E-19,0.000465751
BC emissions impulse,2134,AR5-IR,NA,2.10E-17,0.000464611
BC emissions impulse,2135,AR5-IR,NA,-3.43E-18,0.000463475
BC emissions impulse,2136,AR5-IR,NA,1.91E-18,0.000462341
BC emissions impulse,2137,AR5-IR,NA,1.99E-18,0.000461211
BC emissions impulse,2138,AR5-IR,NA,3.67E-18,0.000460084
BC emissions impulse,2139,AR5-IR,NA,-3.14E-18,0.000458959
BC emissions impulse,2140,AR5-IR,NA,-4.92E-18,0.000457838
BC emissions impulse,2141,AR5-IR,NA,4.80E-18,0.00045672
BC emissions impulse,2142,AR5-IR,NA,1.94E-18,0.000455604
BC emissions impulse,2143,AR5-IR,NA,1.22E-18,0.000454492
BC emissions impulse,2144,AR5-IR,NA,-7.05E-18,0.000453382
BC emissions impulse,2145,AR5-IR,NA,5.34E-18,0.000452275
BC emissions impulse,2146,AR5-IR,NA,-3.23E-19,0.000451171
BC emissions impulse,2147,AR5-IR,NA,-9.67E-19,0.00045007
BC emissions impulse,2148,AR5-IR,NA,3.01E-18,0.000448971
BC emissions impulse,2149,AR5-IR,NA,2.37E-18,0.000447876
BC emissions impulse,2150,AR5-IR,NA,-2.90E-18,0.000446783
BC emissions impulse,2151,AR5-IR,NA,-3.85E-19,0.000445692
BC emissions impulse,2152,AR5-IR,NA,5.29E-18,0.000444605
BC emissions impulse,2153,AR5-IR,NA,1.90E-18,0.00044352
BC emissions impulse,2154,AR5-IR,NA,-3.00E-18,0.000442438
BC emissions impulse,2155,AR5-IR,NA,-5.72E-19,0.000441359
BC emissions impulse,2156,AR5-IR,NA,1.40E-18,0.000440282
BC emissions impulse,2157,AR5-IR,NA,-1.44E-18,0.000439208
BC emissions impulse,2158,AR5-IR,NA,-3.08E-18,0.000438136
BC emissions impulse,2159,AR5-IR,NA,-1.53E-18,0.000437067
BC emissions impulse,2160,AR5-IR,NA,-1.90E-18,0.000436001
BC emissions impulse,2161,AR5-IR,NA,-4.78E-18,0.000434938
BC emissions impulse,2162,AR5-IR,NA,4.12E-18,0.000433877
BC emissions impulse,2163,AR5-IR,NA,-8.33E-19,0.000432818
BC emissions impulse,2164,AR5-IR,NA,5.23E-17,0.000431763
BC emissions impulse,2165,AR5-IR,NA,9.21E-19,0.000430709
BC emissions impulse,2166,AR5-IR,NA,-2.06E-18,0.000429659
BC emissions impulse,2167,AR5-IR,NA,3.64E-18,0.000428611
BC emissions impulse,2168,AR5-IR,NA,-1.54E-18,0.000427565
BC emissions impulse,2169,AR5-IR,NA,-2.01E-18,0.000426522
BC emissions impulse,2170,AR5-IR,NA,6.32E-19,0.000425482
BC emissions impulse,2171,AR5-IR,NA,-3.87E-18,0.000424444
BC emissions impulse,2172,AR5-IR,NA,-4.05E-18,0.000423409
BC emissions impulse,2173,AR5-IR,NA,1.52E-18,0.000422376
BC emissions impulse,2174,AR5-IR,NA,4.14E-18,0.000421346
BC emissions impulse,2175,AR5-IR,NA,2.10E-18,0.000420318
BC emissions impulse,2176,AR5-IR,NA,1.59E-18,0.000419293
BC emissions impulse,2177,AR5-IR,NA,-1.29E-18,0.00041827
BC emissions impulse,2178,AR5-IR,NA,1.93E-17,0.00041725
BC emissions impulse,2179,AR5-IR,NA,3.50E-18,0.000416233
BC emissions impulse,2180,AR5-IR,NA,-3.46E-20,0.000415217
BC emissions impulse,2181,AR5-IR,NA,-4.04E-20,0.000414205
BC emissions impulse,2182,AR5-IR,NA,-3.34E-18,0.000413194
BC emissions impulse,2183,AR5-IR,NA,6.10E-18,0.000412187
BC emissions impulse,2184,AR5-IR,NA,3.32E-19,0.000411181
BC emissions impulse,2185,AR5-IR,NA,-3.30E-18,0.000410178
BC emissions impulse,2186,AR5-IR,NA,2.49E-18,0.000409178
BC emissions impulse,2187,AR5-IR,NA,-8.67E-19,0.00040818
BC emissions impulse,2188,AR5-IR,NA,2.47E-18,0.000407184
BC emissions impulse,2189,AR5-IR,NA,9.35E-19,0.000406191
BC emissions impulse,2190,AR5-IR,NA,-2.69E-18,0.0004052
BC emissions impulse,2191,AR5-IR,NA,-3.95E-19,0.000404212
BC emissions impulse,2192,AR5-IR,NA,1.72E-18,0.000403226
BC emissions impulse,2193,AR5-IR,NA,-2.15E-18,0.000402243
BC emissions impulse,2194,AR5-IR,NA,3.55E-18,0.000401262
BC emissions impulse,2195,AR5-IR,NA,-4.87E-18,0.000400283
BC emissions impulse,2196,AR5-IR,NA,5.34E-19,0.000399307
BC emissions impulse,2197,AR5-IR,NA,3.87E-19,0.000398333
BC emissions impulse,2198,AR5-IR,NA,-2.57E-18,0.000397361
BC emissions impulse,2199,AR5-IR,NA,1.12E-17,0.000396392
BC emissions impulse,2200,AR5-IR,NA,-4.27E-19,0.000395425
BC emissions impulse,2201,AR5-IR,NA,-2.77E-18,0.000394461
BC emissions impulse,2202,AR5-IR,NA,5.61E-19,0.000393499
BC emissions impulse,2203,AR5-IR,NA,-1.89E-18,0.000392539
BC emissions impulse,2204,AR5-IR,NA,-2.50E-18,0.000391582
BC emissions impulse,2205,AR5-IR,NA,-9.15E-19,0.000390626
BC emissions impulse,2206,AR5-IR,NA,-1.58E-18,0.000389674
BC emissions impulse,2207,AR5-IR,NA,2.74E-18,0.000388723
BC emissions impulse,2208,AR5-IR,NA,1.05E-18,0.000387775
BC emissions impulse,2209,AR5-IR,NA,3.08E-18,0.000386829
BC emissions impulse,2210,AR5-IR,NA,7.07E-18,0.000385886
BC emissions impulse,2211,AR5-IR,NA,5.64E-18,0.000384945
BC emissions impulse,2212,AR5-IR,NA,4.94E-18,0.000384006
BC emissions impulse,2213,AR5-IR,NA,2.60E-18,0.000383069
BC emissions impulse,2214,AR5-IR,NA,-1.38E-17,0.000382135
BC emissions impulse,2215,AR5-IR,NA,1.37E-18,0.000381203
BC emissions impulse,2216,AR5-IR,NA,4.56E-18,0.000380273
BC emissions impulse,2217,AR5-IR,NA,-5.83E-18,0.000379346
BC emissions impulse,2218,AR5-IR,NA,5.56E-18,0.00037842
BC emissions impulse,2219,AR5-IR,NA,5.65E-18,0.000377497
BC emissions impulse,2220,AR5-IR,NA,-2.09E-18,0.000376577
BC emissions impulse,2221,AR5-IR,NA,4.95E-19,0.000375658
BC emissions impulse,2222,AR5-IR,NA,2.19E-18,0.000374742
BC emissions impulse,2223,AR5-IR,NA,-1.23E-17,0.000373828
BC emissions impulse,2224,AR5-IR,NA,3.56E-18,0.000372916
BC emissions impulse,2225,AR5-IR,NA,2.99E-18,0.000372007
BC emissions impulse,2226,AR5-IR,NA,6.08E-19,0.000371099
BC emissions impulse,2227,AR5-IR,NA,-4.95E-18,0.000370194
BC emissions impulse,2228,AR5-IR,NA,2.02E-18,0.000369291
BC emissions impulse,2229,AR5-IR,NA,-1.17E-18,0.000368391
BC emissions impulse,2230,AR5-IR,NA,2.86E-19,0.000367492
BC emissions impulse,2231,AR5-IR,NA,-8.43E-18,0.000366596
BC emissions impulse,2232,AR5-IR,NA,5.99E-19,0.000365702
BC emissions impulse,2233,AR5-IR,NA,1.71E-18,0.00036481
BC emissions impulse,2234,AR5-IR,NA,-9.97E-19,0.00036392
BC emissions impulse,2235,AR5-IR,NA,1.97E-18,0.000363032
BC emissions impulse,2236,AR5-IR,NA,-8.60E-19,0.000362147
BC emissions impulse,2237,AR5-IR,NA,5.92E-18,0.000361264
BC emissions impulse,2238,AR5-IR,NA,-2.08E-18,0.000360382
BC emissions impulse,2239,AR5-IR,NA,6.46E-18,0.000359503
BC emissions impulse,2240,AR5-IR,NA,1.01E-18,0.000358627
BC emissions impulse,2241,AR5-IR,NA,3.65E-18,0.000357752
BC emissions impulse,2242,AR5-IR,NA,8.89E-19,0.000356879
BC emissions impulse,2243,AR5-IR,NA,7.39E-19,0.000356009
BC emissions impulse,2244,AR5-IR,NA,-2.72E-18,0.000355141
BC emissions impulse,2245,AR5-IR,NA,2.24E-18,0.000354274
BC emissions impulse,2246,AR5-IR,NA,-3.20E-19,0.00035341
BC emissions impulse,2247,AR5-IR,NA,9.12E-19,0.000352548
BC emissions impulse,2248,AR5-IR,NA,-7.42E-19,0.000351688
BC emissions impulse,2249,AR5-IR,NA,1.61E-18,0.000350831
BC emissions impulse,2250,AR5-IR,NA,8.41E-19,0.000349975
BC emissions impulse,2251,AR5-IR,NA,-5.31E-18,0.000349121
BC emissions impulse,2252,AR5-IR,NA,9.90E-19,0.00034827
BC emissions impulse,2253,AR5-IR,NA,2.12E-18,0.00034742
BC emissions impulse,2254,AR5-IR,NA,7.77E-18,0.000346573
