vtag,Model,year,CO2 concentration response,Total forcing response,Temperature response
CO2 (100 PgC),MAGICC 5.3,2128,21.562,0.20077,0.14493
CO2 (100 PgC),MAGICC 5.3,2129,21.514,0.20052,0.14484
CO2 (100 PgC),MAGICC 5.3,2130,21.467,0.20026,0.14477
CO2 (100 PgC),MAGICC 5.3,2131,21.42,0.20002,0.14469
CO2 (100 PgC),MAGICC 5.3,2132,21.373,0.19976,0.14461
CO2 (100 PgC),MAGICC 5.3,2133,21.327,0.1995,0.14454
CO2 (100 PgC),MAGICC 5.3,2134,21.28,0.19926,0.14446
CO2 (100 PgC),MAGICC 5.3,2135,21.234,0.19901,0.14439
CO2 (100 PgC),MAGICC 5.3,2136,21.189,0.19876,0.14431
CO2 (100 PgC),MAGICC 5.3,2137,21.142,0.19852,0.14424
CO2 (100 PgC),MAGICC 5.3,2138,21.097,0.19827,0.14417
CO2 (100 PgC),MAGICC 5.3,2139,21.052,0.19804,0.14409
CO2 (100 PgC),MAGICC 5.3,2140,21.007,0.1978,0.14401
CO2 (100 PgC),MAGICC 5.3,2141,20.963,0.19756,0.14394
CO2 (100 PgC),MAGICC 5.3,2142,20.918,0.19732,0.14388
CO2 (100 PgC),MAGICC 5.3,2143,20.875,0.19708,0.1438
CO2 (100 PgC),MAGICC 5.3,2144,20.831,0.19684,0.14373
CO2 (100 PgC),MAGICC 5.3,2145,20.786,0.19661,0.14366
CO2 (100 PgC),MAGICC 5.3,2146,20.743,0.19639,0.1436
CO2 (100 PgC),MAGICC 5.3,2147,20.699,0.19616,0.14352
CO2 (100 PgC),MAGICC 5.3,2148,20.656,0.19593,0.14346
CO2 (100 PgC),MAGICC 5.3,2149,20.613,0.1957,0.14339
CO2 (100 PgC),MAGICC 5.3,2150,20.571,0.19546,0.14331
CO2 (100 PgC),MAGICC 5.3,2151,20.528,0.19522,0.14324
CO2 (100 PgC),MAGICC 5.3,2152,20.487,0.19499,0.14317
CO2 (100 PgC),MAGICC 5.3,2153,20.445,0.19474,0.1431
CO2 (100 PgC),MAGICC 5.3,2154,20.404,0.1945,0.14303
CO2 (100 PgC),MAGICC 5.3,2155,20.363,0.19426,0.14296
CO2 (100 PgC),MAGICC 5.3,2156,20.322,0.19402,0.14288
CO2 (100 PgC),MAGICC 5.3,2157,20.282,0.19378,0.14281
CO2 (100 PgC),MAGICC 5.3,2158,20.242,0.19354,0.14273
CO2 (100 PgC),MAGICC 5.3,2159,20.201,0.1933,0.14266
CO2 (100 PgC),MAGICC 5.3,2160,20.162,0.19306,0.14258
CO2 (100 PgC),MAGICC 5.3,2161,20.122,0.19283,0.14251
CO2 (100 PgC),MAGICC 5.3,2162,20.084,0.19259,0.14243
CO2 (100 PgC),MAGICC 5.3,2163,20.045,0.19236,0.14236
CO2 (100 PgC),MAGICC 5.3,2164,20.006,0.19213,0.14228
CO2 (100 PgC),MAGICC 5.3,2165,19.966,0.19189,0.14221
CO2 (100 PgC),MAGICC 5.3,2166,19.928,0.19166,0.14212
CO2 (100 PgC),MAGICC 5.3,2167,19.89,0.19143,0.14205
CO2 (100 PgC),MAGICC 5.3,2168,19.853,0.1912,0.14197
CO2 (100 PgC),MAGICC 5.3,2169,19.815,0.19097,0.14191
CO2 (100 PgC),MAGICC 5.3,2170,19.777,0.19074,0.14182
CO2 (100 PgC),MAGICC 5.3,2171,19.74,0.19052,0.14175
CO2 (100 PgC),MAGICC 5.3,2172,19.703,0.19029,0.14168
CO2 (100 PgC),MAGICC 5.3,2173,19.666,0.19006,0.1416
CO2 (100 PgC),MAGICC 5.3,2174,19.63,0.18984,0.14153
CO2 (100 PgC),MAGICC 5.3,2175,19.594,0.18962,0.14145
CO2 (100 PgC),MAGICC 5.3,2176,19.558,0.1894,0.14138
CO2 (100 PgC),MAGICC 5.3,2177,19.522,0.18917,0.1413
CO2 (100 PgC),MAGICC 5.3,2178,19.486,0.18896,0.14122
CO2 (100 PgC),MAGICC 5.3,2179,19.45,0.18874,0.14115
CO2 (100 PgC),MAGICC 5.3,2180,19.415,0.18853,0.14107
CO2 (100 PgC),MAGICC 5.3,2181,19.379,0.1883,0.141
CO2 (100 PgC),MAGICC 5.3,2182,19.344,0.18809,0.14092
CO2 (100 PgC),MAGICC 5.3,2183,19.309,0.18788,0.14085
CO2 (100 PgC),MAGICC 5.3,2184,19.275,0.18766,0.14078
CO2 (100 PgC),MAGICC 5.3,2185,19.241,0.18745,0.1407
CO2 (100 PgC),MAGICC 5.3,2186,19.206,0.18724,0.14062
CO2 (100 PgC),MAGICC 5.3,2187,19.172,0.18703,0.14055
CO2 (100 PgC),MAGICC 5.3,2188,19.138,0.18682,0.14047
CO2 (100 PgC),MAGICC 5.3,2189,19.105,0.18661,0.1404
CO2 (100 PgC),MAGICC 5.3,2190,19.072,0.1864,0.14033
CO2 (100 PgC),MAGICC 5.3,2191,19.037,0.1862,0.14026
CO2 (100 PgC),MAGICC 5.3,2192,19.005,0.18599,0.14018
CO2 (100 PgC),MAGICC 5.3,2193,18.971,0.18578,0.14011
CO2 (100 PgC),MAGICC 5.3,2194,18.939,0.18557,0.14003
CO2 (100 PgC),MAGICC 5.3,2195,18.906,0.18537,0.13996
CO2 (100 PgC),MAGICC 5.3,2196,18.873,0.18516,0.13988
CO2 (100 PgC),MAGICC 5.3,2197,18.841,0.18496,0.13981
CO2 (100 PgC),MAGICC 5.3,2198,18.809,0.18476,0.13974
CO2 (100 PgC),MAGICC 5.3,2199,18.777,0.18456,0.13967
CO2 (100 PgC),MAGICC 5.3,2200,18.745,0.18436,0.13959
CO2 (100 PgC),MAGICC 5.3,2201,18.714,0.18416,0.13952
CO2 (100 PgC),MAGICC 5.3,2202,18.681,0.18395,0.13945
CO2 (100 PgC),MAGICC 5.3,2203,18.65,0.18376,0.13937
CO2 (100 PgC),MAGICC 5.3,2204,18.619,0.18355,0.1393
CO2 (100 PgC),MAGICC 5.3,2205,18.588,0.18336,0.13923
CO2 (100 PgC),MAGICC 5.3,2206,18.556,0.18316,0.13915
CO2 (100 PgC),MAGICC 5.3,2207,18.526,0.18297,0.13908
CO2 (100 PgC),MAGICC 5.3,2208,18.495,0.18278,0.13901
CO2 (100 PgC),MAGICC 5.3,2209,18.465,0.18258,0.13894
CO2 (100 PgC),MAGICC 5.3,2210,18.435,0.18238,0.13886
CO2 (100 PgC),MAGICC 5.3,2211,18.404,0.18219,0.13879
CO2 (100 PgC),MAGICC 5.3,2212,18.374,0.182,0.13871
CO2 (100 PgC),MAGICC 5.3,2213,18.344,0.1818,0.13864
CO2 (100 PgC),MAGICC 5.3,2214,18.315,0.18161,0.13857
CO2 (100 PgC),MAGICC 5.3,2215,18.285,0.18142,0.1385
CO2 (100 PgC),MAGICC 5.3,2216,18.255,0.18123,0.13843
CO2 (100 PgC),MAGICC 5.3,2217,18.226,0.18103,0.13835
CO2 (100 PgC),MAGICC 5.3,2218,18.196,0.18085,0.13828
CO2 (100 PgC),MAGICC 5.3,2219,18.167,0.18066,0.13821
CO2 (100 PgC),MAGICC 5.3,2220,18.138,0.18048,0.13813
CO2 (100 PgC),MAGICC 5.3,2221,18.109,0.18028,0.13806
CO2 (100 PgC),MAGICC 5.3,2222,18.081,0.1801,0.13799
CO2 (100 PgC),MAGICC 5.3,2223,18.053,0.17991,0.13792
CO2 (100 PgC),MAGICC 5.3,2224,18.024,0.17972,0.13784
CO2 (100 PgC),MAGICC 5.3,2225,17.995,0.17954,0.13777
CO2 (100 PgC),MAGICC 5.3,2226,17.968,0.17936,0.1377
CO2 (100 PgC),MAGICC 5.3,2227,17.939,0.17917,0.13762
CO2 (100 PgC),MAGICC 5.3,2228,17.911,0.17898,0.13756
CO2 (100 PgC),MAGICC 5.3,2229,17.884,0.1788,0.13749
CO2 (100 PgC),MAGICC 5.3,2230,17.855,0.17862,0.13741
CO2 (100 PgC),MAGICC 5.3,2231,17.828,0.17843,0.13734
CO2 (100 PgC),MAGICC 5.3,2232,17.801,0.17826,0.13727
CO2 (100 PgC),MAGICC 5.3,2233,17.773,0.17807,0.1372
CO2 (100 PgC),MAGICC 5.3,2234,17.746,0.1779,0.13713
CO2 (100 PgC),MAGICC 5.3,2235,17.719,0.17771,0.13705
CO2 (100 PgC),MAGICC 5.3,2236,17.692,0.17754,0.13698
CO2 (100 PgC),MAGICC 5.3,2237,17.665,0.17735,0.13691
CO2 (100 PgC),MAGICC 5.3,2238,17.638,0.17718,0.13684
CO2 (100 PgC),MAGICC 5.3,2239,17.612,0.177,0.13677
CO2 (100 PgC),MAGICC 5.3,2240,17.585,0.17682,0.1367
CO2 (100 PgC),MAGICC 5.3,2241,17.559,0.17664,0.13663
CO2 (100 PgC),MAGICC 5.3,2242,17.532,0.17646,0.13655
CO2 (100 PgC),MAGICC 5.3,2243,17.507,0.17629,0.13648
CO2 (100 PgC),MAGICC 5.3,2244,17.481,0.17611,0.13641
CO2 (100 PgC),MAGICC 5.3,2245,17.454,0.17594,0.13634
CO2 (100 PgC),MAGICC 5.3,2246,17.429,0.17576,0.13626
CO2 (100 PgC),MAGICC 5.3,2247,17.403,0.17559,0.13619
CO2 (100 PgC),MAGICC 5.3,2248,17.377,0.17541,0.13612
CO2 (100 PgC),MAGICC 5.3,2249,17.352,0.17524,0.13605
CO2 (100 PgC),MAGICC 5.3,2250,17.326,0.17506,0.13598
CO2 (100 PgC),MAGICC 5.3,2251,17.3,0.1749,0.13591
CO2 (100 PgC),MAGICC 5.3,2252,17.276,0.17472,0.13583
CO2 (100 PgC),MAGICC 5.3,2253,17.251,0.17455,0.13577
CO2 (100 PgC),MAGICC 5.3,2254,17.226,0.17438,0.1357
CO2 (100 PgC),MAGICC 5.3,2255,17.2,0.1742,0.13562
CO2 (100 PgC),MAGICC 5.3,2256,17.176,0.17403,0.13556
CO2 (100 PgC),MAGICC 5.3,2257,17.151,0.17386,0.13549
CO2 (100 PgC),MAGICC 5.3,2258,17.126,0.17369,0.13541
CO2 (100 PgC),MAGICC 5.3,2259,17.103,0.17352,0.13534
CO2 (100 PgC),MAGICC 5.3,2260,17.078,0.17335,0.13527
CO2 (100 PgC),MAGICC 5.3,2261,17.054,0.17319,0.1352
CO2 (100 PgC),MAGICC 5.3,2262,17.029,0.17302,0.13513
CO2 (100 PgC),MAGICC 5.3,2263,17.005,0.17285,0.13505
CO2 (100 PgC),MAGICC 5.3,2264,16.981,0.17268,0.13499
CO2 (100 PgC),MAGICC 5.3,2265,16.957,0.17252,0.13491
CO2 (100 PgC),MAGICC 5.3,2266,16.933,0.17235,0.13485
CO2 (100 PgC),MAGICC 5.3,2267,16.909,0.17218,0.13477
CO2 (100 PgC),MAGICC 5.3,2268,16.886,0.17202,0.13471
CO2 (100 PgC),MAGICC 5.3,2269,16.863,0.17185,0.13464
CO2 (100 PgC),MAGICC 5.3,2270,16.839,0.17169,0.13457
CO2 (100 PgC),MAGICC 5.3,2271,16.816,0.17152,0.13449
CO2 (100 PgC),MAGICC 5.3,2272,16.793,0.17136,0.13443
CO2 (100 PgC),MAGICC 5.3,2273,16.77,0.17119,0.13435
CO2 (100 PgC),MAGICC 5.3,2274,16.746,0.17103,0.13428
CO2 (100 PgC),MAGICC 5.3,2275,16.723,0.17087,0.13421
CO2 (100 PgC),MAGICC 5.3,2276,16.701,0.17071,0.13414
CO2 (100 PgC),MAGICC 5.3,2277,16.677,0.17055,0.13407
CO2 (100 PgC),MAGICC 5.3,2278,16.655,0.17038,0.13401
CO2 (100 PgC),MAGICC 5.3,2279,16.632,0.17022,0.13393
CO2 (100 PgC),MAGICC 5.3,2280,16.61,0.17006,0.13387
CO2 (100 PgC),MAGICC 5.3,2281,16.587,0.1699,0.13379
CO2 (100 PgC),MAGICC 5.3,2282,16.565,0.16974,0.13372
CO2 (100 PgC),MAGICC 5.3,2283,16.543,0.16958,0.13365
CO2 (100 PgC),MAGICC 5.3,2284,16.52,0.16942,0.13359
CO2 (100 PgC),MAGICC 5.3,2285,16.498,0.16927,0.13351
CO2 (100 PgC),MAGICC 5.3,2286,16.476,0.1691,0.13344
CO2 (100 PgC),MAGICC 5.3,2287,16.454,0.16894,0.13337
CO2 (100 PgC),MAGICC 5.3,2288,16.433,0.16879,0.1333
CO2 (100 PgC),MAGICC 5.3,2289,16.411,0.16863,0.13323
CO2 (100 PgC),MAGICC 5.3,2290,16.389,0.16847,0.13317
CO2 (100 PgC),MAGICC 5.3,2291,16.367,0.16831,0.13309
CO2 (100 PgC),MAGICC 5.3,2292,16.346,0.16816,0.13303
CO2 (100 PgC),MAGICC 5.3,2293,16.324,0.168,0.13295
CO2 (100 PgC),MAGICC 5.3,2294,16.303,0.16785,0.13289
CO2 (100 PgC),MAGICC 5.3,2295,16.282,0.16769,0.13282
CO2 (100 PgC),MAGICC 5.3,2296,16.26,0.16753,0.13275
CO2 (100 PgC),MAGICC 5.3,2297,16.239,0.16738,0.13268
CO2 (100 PgC),MAGICC 5.3,2298,16.218,0.16722,0.1326
CO2 (100 PgC),MAGICC 5.3,2299,16.197,0.16707,0.13254
CO2 (100 PgC),MAGICC 5.3,2300,16.176,0.16692,0.13247
MAGICC 6.0,CO2 (100 PgC),2009,0,0,0
MAGICC 6.0,CO2 (100 PgC),2010,0,0,0
MAGICC 6.0,CO2 (100 PgC),2011,0,0,0
MAGICC 6.0,CO2 (100 PgC),2012,0,0,0
MAGICC 6.0,CO2 (100 PgC),2013,0,0,0
MAGICC 6.0,CO2 (100 PgC),2014,0,0,0
MAGICC 6.0,CO2 (100 PgC),2015,0,0,0
MAGICC 6.0,CO2 (100 PgC),2016,23.43375,0.2948276,0.0861
MAGICC 6.0,CO2 (100 PgC),2017,44.89644,0.5643138,0.135
MAGICC 6.0,CO2 (100 PgC),2018,42.11599,0.5275763,0.1574
MAGICC 6.0,CO2 (100 PgC),2019,40.02734,0.4992738,0.1692
MAGICC 6.0,CO2 (100 PgC),2020,37.79857,0.4695763,0.176
MAGICC 6.0,CO2 (100 PgC),2021,36.20726,0.4477023,0.1803
MAGICC 6.0,CO2 (100 PgC),2022,35.1227,0.4319521,0.1835
MAGICC 6.0,CO2 (100 PgC),2023,34.21235,0.4183768,0.1854
MAGICC 6.0,CO2 (100 PgC),2024,33.34802,0.4054551,0.1865
MAGICC 6.0,CO2 (100 PgC),2025,32.59537,0.3939617,0.187
MAGICC 6.0,CO2 (100 PgC),2026,31.91978,0.3834768,0.187
MAGICC 6.0,CO2 (100 PgC),2027,31.31085,0.3738681,0.1867
MAGICC 6.0,CO2 (100 PgC),2028,30.75869,0.3650106,0.1861
MAGICC 6.0,CO2 (100 PgC),2029,30.25564,0.3568072,0.1854
MAGICC 6.0,CO2 (100 PgC),2030,29.79546,0.3491781,0.1844
MAGICC 6.0,CO2 (100 PgC),2031,29.37302,0.3420571,0.1834
MAGICC 6.0,CO2 (100 PgC),2032,28.98402,0.3353981,0.1823
MAGICC 6.0,CO2 (100 PgC),2033,28.62476,0.3291613,0.1812
MAGICC 6.0,CO2 (100 PgC),2034,28.29214,0.3233032,0.1799
MAGICC 6.0,CO2 (100 PgC),2035,27.98352,0.3177878,0.1788
MAGICC 6.0,CO2 (100 PgC),2036,27.69663,0.3125832,0.1776
MAGICC 6.0,CO2 (100 PgC),2037,27.42949,0.3076618,0.1763
MAGICC 6.0,CO2 (100 PgC),2038,27.18039,0.3029999,0.1751
MAGICC 6.0,CO2 (100 PgC),2039,26.94782,0.298576,0.1739
MAGICC 6.0,CO2 (100 PgC),2040,26.73047,0.2943712,0.1727
MAGICC 6.0,CO2 (100 PgC),2041,26.52714,0.2903689,0.1715
MAGICC 6.0,CO2 (100 PgC),2042,26.33677,0.2865618,0.1703
MAGICC 6.0,CO2 (100 PgC),2043,26.15833,0.2829427,0.1692
MAGICC 6.0,CO2 (100 PgC),2044,25.99092,0.2794965,0.1681
MAGICC 6.0,CO2 (100 PgC),2045,25.83375,0.2762104,0.1671
MAGICC 6.0,CO2 (100 PgC),2046,25.68612,0.273072,0.1659
MAGICC 6.0,CO2 (100 PgC),2047,25.54739,0.2700686,0.1649
MAGICC 6.0,CO2 (100 PgC),2048,25.417,0.2671898,0.1638
MAGICC 6.0,CO2 (100 PgC),2049,25.29443,0.26446,0.1629
MAGICC 6.0,CO2 (100 PgC),2050,25.17917,0.2618748,0.1619
MAGICC 6.0,CO2 (100 PgC),2051,25.07077,0.259399,0.1609
MAGICC 6.0,CO2 (100 PgC),2052,24.9688,0.2570423,0.1601
MAGICC 6.0,CO2 (100 PgC),2053,24.87266,0.2548115,0.1592
MAGICC 6.0,CO2 (100 PgC),2054,24.7819,0.2526965,0.1584
MAGICC 6.0,CO2 (100 PgC),2055,24.69612,0.2506899,0.1575
MAGICC 6.0,CO2 (100 PgC),2056,24.61499,0.2487844,0.1567
MAGICC 6.0,CO2 (100 PgC),2057,24.53816,0.2469738,0.156
MAGICC 6.0,CO2 (100 PgC),2058,24.46536,0.2452523,0.1553
MAGICC 6.0,CO2 (100 PgC),2059,24.39633,0.2436148,0.1546
MAGICC 6.0,CO2 (100 PgC),2060,24.33081,0.2420565,0.1539
MAGICC 6.0,CO2 (100 PgC),2061,24.26859,0.2405731,0.1533
MAGICC 6.0,CO2 (100 PgC),2062,24.20945,0.2391671,0.1527
MAGICC 6.0,CO2 (100 PgC),2063,24.15309,0.2378406,0.1521
MAGICC 6.0,CO2 (100 PgC),2064,24.09928,0.2365884,0.1515
MAGICC 6.0,CO2 (100 PgC),2065,24.04782,0.2354064,0.151
MAGICC 6.0,CO2 (100 PgC),2066,23.99852,0.2342909,0.1505
MAGICC 6.0,CO2 (100 PgC),2067,23.9512,0.2332381,0.15
MAGICC 6.0,CO2 (100 PgC),2068,23.90566,0.2322452,0.1495
MAGICC 6.0,CO2 (100 PgC),2069,23.86178,0.231309,0.1491
MAGICC 6.0,CO2 (100 PgC),2070,23.81941,0.2304268,0.1487
MAGICC 6.0,CO2 (100 PgC),2071,23.77843,0.2295959,0.1483
MAGICC 6.0,CO2 (100 PgC),2072,23.73873,0.2288204,0.148
MAGICC 6.0,CO2 (100 PgC),2073,23.70013,0.2281037,0.1476
MAGICC 6.0,CO2 (100 PgC),2074,23.66246,0.2274422,0.1473
MAGICC 6.0,CO2 (100 PgC),2075,23.62559,0.2268337,0.147
MAGICC 6.0,CO2 (100 PgC),2076,23.58939,0.2262756,0.1468
MAGICC 6.0,CO2 (100 PgC),2077,23.55371,0.2257659,0.1465
MAGICC 6.0,CO2 (100 PgC),2078,23.51843,0.2253584,0.1462
MAGICC 6.0,CO2 (100 PgC),2079,23.48339,0.2250746,0.146
MAGICC 6.0,CO2 (100 PgC),2080,23.44853,0.2248472,0.1459
MAGICC 6.0,CO2 (100 PgC),2081,23.41376,0.224643,0.1457
MAGICC 6.0,CO2 (100 PgC),2082,23.37914,0.2244344,0.1457
MAGICC 6.0,CO2 (100 PgC),2083,23.34492,0.2241981,0.1455
MAGICC 6.0,CO2 (100 PgC),2084,23.31133,0.2239406,0.1454
MAGICC 6.0,CO2 (100 PgC),2085,23.2784,0.2236651,0.1454
MAGICC 6.0,CO2 (100 PgC),2086,23.24622,0.2233748,0.1452
MAGICC 6.0,CO2 (100 PgC),2087,23.2148,0.223072,0.1451
MAGICC 6.0,CO2 (100 PgC),2088,23.18417,0.222759,0.145
MAGICC 6.0,CO2 (100 PgC),2089,23.15436,0.2224374,0.1449
MAGICC 6.0,CO2 (100 PgC),2090,23.12535,0.2221087,0.1448
MAGICC 6.0,CO2 (100 PgC),2091,23.09716,0.2217741,0.1447
MAGICC 6.0,CO2 (100 PgC),2092,23.06978,0.2214348,0.1445
MAGICC 6.0,CO2 (100 PgC),2093,23.0432,0.2210916,0.1445
MAGICC 6.0,CO2 (100 PgC),2094,23.01742,0.2207455,0.1443
MAGICC 6.0,CO2 (100 PgC),2095,22.99245,0.2203973,0.1442
MAGICC 6.0,CO2 (100 PgC),2096,22.96826,0.2200474,0.1442
MAGICC 6.0,CO2 (100 PgC),2097,22.94484,0.2196966,0.1441
MAGICC 6.0,CO2 (100 PgC),2098,22.92216,0.2193452,0.1439
MAGICC 6.0,CO2 (100 PgC),2099,22.90024,0.2189937,0.1438
MAGICC 6.0,CO2 (100 PgC),2100,22.87903,0.2186424,0.1437
MAGICC 6.0,CO2 (100 PgC),2101,22.85855,0.2182918,0.1436
MAGICC 6.0,CO2 (100 PgC),2102,22.83874,0.2179526,0.1435
MAGICC 6.0,CO2 (100 PgC),2103,22.81944,0.2176341,0.1434
MAGICC 6.0,CO2 (100 PgC),2104,22.80055,0.2173339,0.1434
MAGICC 6.0,CO2 (100 PgC),2105,22.782,0.2170509,0.1432
MAGICC 6.0,CO2 (100 PgC),2106,22.76372,0.2167841,0.1431
MAGICC 6.0,CO2 (100 PgC),2107,22.74568,0.2165326,0.143
MAGICC 6.0,CO2 (100 PgC),2108,22.72782,0.2162955,0.143
MAGICC 6.0,CO2 (100 PgC),2109,22.71011,0.2160723,0.1429
MAGICC 6.0,CO2 (100 PgC),2110,22.69252,0.2158624,0.1429
MAGICC 6.0,CO2 (100 PgC),2111,22.67501,0.2156655,0.1428
MAGICC 6.0,CO2 (100 PgC),2112,22.65754,0.215478,0.1428
MAGICC 6.0,CO2 (100 PgC),2113,22.64015,0.2152973,0.1426
MAGICC 6.0,CO2 (100 PgC),2114,22.62282,0.2151234,0.1426
MAGICC 6.0,CO2 (100 PgC),2115,22.60555,0.2149565,0.1426
MAGICC 6.0,CO2 (100 PgC),2116,22.58832,0.2147966,0.1426
MAGICC 6.0,CO2 (100 PgC),2117,22.57112,0.2146435,0.1425
MAGICC 6.0,CO2 (100 PgC),2118,22.55393,0.2144973,0.1425
MAGICC 6.0,CO2 (100 PgC),2119,22.53674,0.2143576,0.1424
MAGICC 6.0,CO2 (100 PgC),2120,22.51953,0.2142247,0.1424
MAGICC 6.0,CO2 (100 PgC),2121,22.5023,0.2140983,0.1424
MAGICC 6.0,CO2 (100 PgC),2122,22.48504,0.2139741,0.1424
MAGICC 6.0,CO2 (100 PgC),2123,22.4678,0.2138483,0.1424
MAGICC 6.0,CO2 (100 PgC),2124,22.4506,0.2137219,0.1423
MAGICC 6.0,CO2 (100 PgC),2125,22.43343,0.2135952,0.1423
MAGICC 6.0,CO2 (100 PgC),2126,22.41634,0.2134685,0.1423
MAGICC 6.0,CO2 (100 PgC),2127,22.3993,0.213342,0.1423
MAGICC 6.0,CO2 (100 PgC),2128,22.38232,0.2132161,0.1423
MAGICC 6.0,CO2 (100 PgC),2129,22.3654,0.2130909,0.1422
MAGICC 6.0,CO2 (100 PgC),2130,22.34854,0.2129665,0.1422
MAGICC 6.0,CO2 (100 PgC),2131,22.33174,0.2128432,0.1422
MAGICC 6.0,CO2 (100 PgC),2132,22.315,0.21272,0.1422
MAGICC 6.0,CO2 (100 PgC),2133,22.29833,0.212597,0.1422
MAGICC 6.0,CO2 (100 PgC),2134,22.28173,0.2124742,0.1422
MAGICC 6.0,CO2 (100 PgC),2135,22.26519,0.2123516,0.1422
MAGICC 6.0,CO2 (100 PgC),2136,22.24872,0.2122296,0.1421
MAGICC 6.0,CO2 (100 PgC),2137,22.23232,0.2121082,0.1422
MAGICC 6.0,CO2 (100 PgC),2138,22.216,0.2119875,0.1421
MAGICC 6.0,CO2 (100 PgC),2139,22.19972,0.2118675,0.1421
MAGICC 6.0,CO2 (100 PgC),2140,22.18352,0.2117484,0.1421
MAGICC 6.0,CO2 (100 PgC),2141,22.16738,0.2116301,0.1421
MAGICC 6.0,CO2 (100 PgC),2142,22.15129,0.2115129,0.1421
MAGICC 6.0,CO2 (100 PgC),2143,22.13526,0.2113967,0.1421
MAGICC 6.0,CO2 (100 PgC),2144,22.11927,0.2112817,0.1421
MAGICC 6.0,CO2 (100 PgC),2145,22.10332,0.2111679,0.142
MAGICC 6.0,CO2 (100 PgC),2146,22.08744,0.2110552,0.1421
MAGICC 6.0,CO2 (100 PgC),2147,22.07157,0.2109438,0.142
MAGICC 6.0,CO2 (100 PgC),2148,22.05576,0.2108336,0.1421
MAGICC 6.0,CO2 (100 PgC),2149,22.03998,0.2107247,0.142
MAGICC 6.0,CO2 (100 PgC),2150,22.02424,0.2106116,0.142
MAGICC 6.0,CO2 (100 PgC),2151,22.0086,0.2104923,0.1421
MAGICC 6.0,CO2 (100 PgC),2152,21.9931,0.2103697,0.142
MAGICC 6.0,CO2 (100 PgC),2153,21.97771,0.210245,0.142
MAGICC 6.0,CO2 (100 PgC),2154,21.96244,0.210119,0.142
MAGICC 6.0,CO2 (100 PgC),2155,21.94728,0.2099922,0.1419
MAGICC 6.0,CO2 (100 PgC),2156,21.93225,0.2098652,0.1419
MAGICC 6.0,CO2 (100 PgC),2157,21.91731,0.2097383,0.1419
MAGICC 6.0,CO2 (100 PgC),2158,21.90248,0.2096118,0.1419
MAGICC 6.0,CO2 (100 PgC),2159,21.88775,0.2094856,0.1419
MAGICC 6.0,CO2 (100 PgC),2160,21.8731,0.2093599,0.1419
MAGICC 6.0,CO2 (100 PgC),2161,21.85855,0.2092344,0.1419
MAGICC 6.0,CO2 (100 PgC),2162,21.84409,0.2091095,0.1419
MAGICC 6.0,CO2 (100 PgC),2163,21.8297,0.2089853,0.1419
MAGICC 6.0,CO2 (100 PgC),2164,21.81541,0.2088617,0.1418
MAGICC 6.0,CO2 (100 PgC),2165,21.80119,0.2087387,0.1418
MAGICC 6.0,CO2 (100 PgC),2166,21.78704,0.2086164,0.1418
MAGICC 6.0,CO2 (100 PgC),2167,21.77297,0.2084947,0.1419
MAGICC 6.0,CO2 (100 PgC),2168,21.75898,0.2083737,0.1418
MAGICC 6.0,CO2 (100 PgC),2169,21.74505,0.2082533,0.1418
MAGICC 6.0,CO2 (100 PgC),2170,21.73119,0.2081335,0.1418
MAGICC 6.0,CO2 (100 PgC),2171,21.71739,0.2080144,0.1417
MAGICC 6.0,CO2 (100 PgC),2172,21.70366,0.2078959,0.1418
MAGICC 6.0,CO2 (100 PgC),2173,21.68999,0.2077779,0.1417
MAGICC 6.0,CO2 (100 PgC),2174,21.67639,0.2076603,0.1417
MAGICC 6.0,CO2 (100 PgC),2175,21.66284,0.2075434,0.1417
MAGICC 6.0,CO2 (100 PgC),2176,21.64935,0.207427,0.1417
MAGICC 6.0,CO2 (100 PgC),2177,21.63592,0.2073112,0.1417
MAGICC 6.0,CO2 (100 PgC),2178,21.62255,0.207196,0.1416
MAGICC 6.0,CO2 (100 PgC),2179,21.60923,0.2070812,0.1417
MAGICC 6.0,CO2 (100 PgC),2180,21.59595,0.2069671,0.1416
MAGICC 6.0,CO2 (100 PgC),2181,21.58274,0.2068536,0.1416
MAGICC 6.0,CO2 (100 PgC),2182,21.56958,0.2067405,0.1416
MAGICC 6.0,CO2 (100 PgC),2183,21.55646,0.2066278,0.1415
MAGICC 6.0,CO2 (100 PgC),2184,21.5434,0.2065155,0.1416
MAGICC 6.0,CO2 (100 PgC),2185,21.53038,0.2064036,0.1415
MAGICC 6.0,CO2 (100 PgC),2186,21.51741,0.2062921,0.1415
MAGICC 6.0,CO2 (100 PgC),2187,21.50449,0.2061811,0.1415
MAGICC 6.0,CO2 (100 PgC),2188,21.49161,0.2060705,0.1415
MAGICC 6.0,CO2 (100 PgC),2189,21.47878,0.2059603,0.1415
MAGICC 6.0,CO2 (100 PgC),2190,21.46599,0.2058507,0.1415
MAGICC 6.0,CO2 (100 PgC),2191,21.45325,0.2057415,0.1415
MAGICC 6.0,CO2 (100 PgC),2192,21.44054,0.2056327,0.1414
MAGICC 6.0,CO2 (100 PgC),2193,21.42788,0.2055242,0.1414
MAGICC 6.0,CO2 (100 PgC),2194,21.41526,0.2054159,0.1413
MAGICC 6.0,CO2 (100 PgC),2195,21.40268,0.2053081,0.1414
